component_id,kind,information_family,oof_ic,positive_holdout_years,annual_ic_json,selected
SIG-30M-CB5BD470E25B32F0,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.04603799197219012,1,"{""2021"": -0.04385021206583031, ""2022"": -0.11504199290996232, ""2023"": 0.05994156454243715}",False
SIG-30M-B80E708745996504,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.08272307619979846,3,"{""2021"": 0.07966631465869527, ""2022"": 0.09296102477207623, ""2023"": 0.019973528110751655}",True
SIG-30M-1897F22A5A891B13,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.04430791255052796,3,"{""2021"": 0.02799462353068923, ""2022"": 0.10879673682589992, ""2023"": 0.056929708718343554}",True
SIG-30M-4E6C86E298475DE1,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.02039662534657599,0,"{""2021"": -0.08746083353335889, ""2022"": -0.01758898828191817, ""2023"": -0.02983657634893124}",False
SIG-30M-6DC8B9FA5078A466,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.04389468848402296,3,"{""2021"": 0.0002503779673618326, ""2022"": 0.05347003708115161, ""2023"": 0.027199151131988075}",False
SIG-30M-E83F2F6E6F39C8D8,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.042587432327302256,3,"{""2021"": 0.048797824306429566, ""2022"": 0.016763997236498927, ""2023"": 0.00016511985772506255}",True
SIG-30M-C69DAE4213490B63,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,-0.03482338266716366,1,"{""2021"": -0.02230813566992147, ""2022"": -0.21431872203480146, ""2023"": 0.07709850582683468}",False
SIG-30M-770956D737EC6834,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.05908966822257701,1,"{""2021"": -0.14120916508524403, ""2022"": -0.07406015189441673, ""2023"": 0.019520149826487292}",False
SIG-30M-D5D7A8AC665E6603,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.028826490886976603,1,"{""2021"": -0.10514203988245358, ""2022"": -0.0460019168513686, ""2023"": 0.009965134652893781}",False
SIG-30M-0351D012F6BE879D,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.07402764296660745,0,"{""2021"": -0.04442453228365326, ""2022"": -0.0844309987889521, ""2023"": -0.14123689609388523}",False
SIG-30M-90DDF426556F8B69,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.0017190522121570235,0,"{""2021"": -0.015232821365189527, ""2022"": -0.04791220355659485, ""2023"": -0.03843913380000609}",False
